## NVDA Price History
**NVDA** (NVIDIA Corporation, USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 112.69 | 341,755,500 |
| 2025-03-14 | 121.67 | 277,593,500 |
| 2025-03-21 | 117.70 | 266,498,528 |
| 2025-03-28 | 109.67 | 229,872,549 |
| 2025-04-04 | 94.31 | 532,273,810 |
| 2025-04-11 | 110.93 | 313,417,300 |
| 2025-04-17 | 101.49 | 292,517,500 |
| 2025-04-25 | 111.01 | 251,064,700 |
| 2025-05-02 | 114.50 | 190,194,800 |
| 2025-05-09 | 116.65 | 132,972,200 |
| 2025-05-16 | 135.40 | 226,542,500 |
| 2025-05-23 | 131.29 | 198,821,324 |
| 2025-05-30 | 135.13 | 333,170,900 |
| 2025-06-06 | 141.72 | 153,986,200 |
| 2025-06-13 | 141.97 | 180,820,600 |
| 2025-06-20 | 143.85 | 242,956,200 |
| 2025-06-27 | 157.75 | 263,234,539 |
| 2025-07-03 | 159.34 | 143,716,100 |
| 2025-07-11 | 164.92 | 193,633,300 |
| 2025-07-18 | 172.41 | 146,456,416 |
| 2025-07-25 | 173.50 | 122,316,800 |
| 2025-08-01 | 173.72 | 204,529,000 |
| 2025-08-08 | 182.70 | 123,396,700 |
| 2025-08-15 | 180.45 | 156,602,200 |
| 2025-08-22 | 177.99 | 172,789,427 |
| 2025-08-29 | 174.18 | 243,257,900 |
| 2025-09-05 | 167.02 | 224,441,435 |
| 2025-09-12 | 177.82 | 124,911,026 |
| 2025-09-19 | 176.67 | 237,182,143 |
| 2025-09-26 | 178.19 | 148,573,732 |
| 2025-10-03 | 187.62 | 137,596,900 |
| 2025-10-10 | 183.16 | 268,774,400 |
| 2025-10-17 | 183.22 | 173,135,217 |
| 2025-10-24 | 186.26 | 131,296,700 |
| 2025-10-31 | 202.49 | 179,802,200 |
| 2025-11-07 | 188.15 | 264,942,300 |
| 2025-11-14 | 190.17 | 186,591,900 |
| 2025-11-21 | 178.88 | 346,926,200 |
| 2025-11-28 | 177 | 121,332,800 |
| 2025-12-05 | 182.41 | 143,971,100 |
| 2025-12-12 | 175.02 | 204,274,918 |
| 2025-12-19 | 180.99 | 324,925,927 |
| 2025-12-26 | 190.53 | 139,740,300 |
| 2026-01-02 | 188.85 | 148,240,500 |
| 2026-01-09 | 184.86 | 131,327,534 |
| 2026-01-16 | 186.23 | 187,967,200 |
| 2026-01-23 | 187.67 | 142,748,100 |
| 2026-01-30 | 191.13 | 179,489,500 |
| 2026-02-06 | 185.41 | 231,346,241 |
| 2026-02-13 | 182.81 | 161,888,021 |
| 2026-02-20 | 189.82 | 178,422,337 |
| 2026-02-27 | 177.19 | 311,636,500 |
| 2026-03-06 | 177.82 | 189,021,949 |
| 2026-03-13 | 180.25 | 160,988,425 |
| 2026-03-20 | 172.70 | 241,323,529 |
| 2026-03-27 | 167.52 | 196,212,684 |

Data available in: `NVDA_price_history_2025-03-01_2026-03-28_1week_4ed82c.csv` (row key column: date)

## AAPL Price History
**AAPL** (Apple Inc., USD)
| date | close | volume |
| --- | --- | --- |
| 2025-03-07 | 239.07 | 46,273,600 |
| 2025-03-14 | 213.49 | 60,107,600 |
| 2025-03-21 | 218.27 | 94,127,800 |
| 2025-03-28 | 217.90 | 39,818,617 |
| 2025-04-04 | 188.38 | 125,910,913 |
| 2025-04-11 | 198.15 | 87,435,915 |
| 2025-04-17 | 196.98 | 52,164,700 |
